national_segment_id,segment_bundle_id,stitch_group_id,current_zone_id,current_tier,route_label,zone_id,route,state_scope,evidence_state_scope,geometry_state_scope,segment_aliases,bundle_aliases,board_layers,source_artifacts,stop_placement_status,bundle_role,member_segment_ids,registry_action,validation_status
US.HWYSEG.7914342608281D59,US.HWYBUNDLE.7914342608281D59,US.HWYSTITCH.7914342608281D59,t3-mid-south,T3,,t3-mid-south,,,,,current-tier:T3;current-zone:t3-mid-south;layer:zone-summary,current-tier:T3;current-zone:t3-mid-south;layer:zone-summary,zone-summary,data/t3-zone-map-diagnostics.csv,,single-segment,US.HWYSEG.7914342608281D59,track-zone-or-backlog-identity,pass
US.HWYSEG.879FDF25B892844F,US.HWYBUNDLE.879FDF25B892844F,US.HWYSTITCH.879FDF25B892844F,t3-mid-south,T3,I49,t3-mid-south,I49,KS;LA;MO,KS;LA;MO,,current-tier:T3;current-zone:t3-mid-south;layer:selected-route;route-label:I49;route:I49;zone-route:t3-mid-south:I49,current-tier:T3;current-zone:t3-mid-south;layer:selected-route;route-label:I49;route:I49;zone-route:t3-mid-south:I49,selected-route;stop-placement,data/t3-zone-render-board.csv;data/t3-zone-route-columns.csv;data/tier-stop-candidates.csv,ready-for-stop-layout,single-segment,US.HWYSEG.879FDF25B892844F,eligible-for-geometry-layout,pass
US.HWYSEG.8DE0E4A5D6DFCC56,US.HWYBUNDLE.8DE0E4A5D6DFCC56,US.HWYSTITCH.8DE0E4A5D6DFCC56,t3-mountain-west,T3,I225,t3-mountain-west,I225,,,,current-tier:T3;current-zone:t3-mountain-west;layer:selected-route;route-label:I225;route:I225;zone-route:t3-mountain-west:I225,current-tier:T3;current-zone:t3-mountain-west;layer:selected-route;route-label:I225;route:I225;zone-route:t3-mountain-west:I225,selected-route;stop-placement,data/t3-zone-render-board.csv;data/t3-zone-route-columns.csv;data/tier-stop-candidates.csv,needs-stop-chain,single-segment,US.HWYSEG.8DE0E4A5D6DFCC56,author-zone-bounded-stop-chain,review
US.HWYSEG.8DE474A5D6E2F6DD,US.HWYBUNDLE.8DE474A5D6E2F6DD,US.HWYSTITCH.8DE474A5D6E2F6DD,t3-mountain-west,T3,I215,t3-mountain-west,I-215,,,,current-tier:T3;current-zone:t3-mountain-west;layer:review-connector;route-label:I215;route:I215;zone-route:t3-mountain-west:I215,current-tier:T3;current-zone:t3-mountain-west;layer:review-connector;route-label:I215;route:I215;zone-route:t3-mountain-west:I215,review-connector,data/t3-zone-route-columns.csv,,single-segment,US.HWYSEG.8DE474A5D6E2F6DD,author-zone-bounded-stop-chain,review
US.HWYSEG.8DE7F0A5D6E5FF68,US.HWYBUNDLE.8DE7F0A5D6E5FF68,US.HWYSTITCH.8DE7F0A5D6E5FF68,t3-mountain-west,T3,I205,t3-mountain-west,I205,OR,OR,,current-tier:T3;current-zone:t3-mountain-west;layer:selected-route;route-label:I205;route:I205;zone-route:t3-mountain-west:I205,current-tier:T3;current-zone:t3-mountain-west;layer:selected-route;route-label:I205;route:I205;zone-route:t3-mountain-west:I205,selected-route;stop-placement,data/t3-zone-render-board.csv;data/t3-zone-route-columns.csv;data/tier-stop-candidates.csv,needs-terminal-stop,single-segment,US.HWYSEG.8DE7F0A5D6E5FF68,complete-terminal-stop-chain,review
US.HWYSEG.9641C8EF94A2BB4C,US.HWYBUNDLE.9641C8EF94A2BB4C,US.HWYSTITCH.9641C8EF94A2BB4C,t3-southeast,T3,I464,t3-southeast,I-464,,,,current-tier:T3;current-zone:t3-southeast;layer:review-connector;route-label:I464;route:I464;zone-route:t3-southeast:I464,current-tier:T3;current-zone:t3-southeast;layer:review-connector;route-label:I464;route:I464;zone-route:t3-southeast:I464,review-connector,data/t3-zone-route-columns.csv,,single-segment,US.HWYSEG.9641C8EF94A2BB4C,author-zone-bounded-stop-chain,review
US.HWYSEG.968E0DA5DBCB2882,US.HWYBUNDLE.968E0DA5DBCB2882,US.HWYSTITCH.968E0DA5DBCB2882,t3-mountain-west,T3,I135,t3-mountain-west,I-135,,,,current-tier:T3;current-zone:t3-mountain-west;layer:held-gap;layer:review-connector;route-label:I135;route:I135;zone-route:t3-mountain-west:I135,current-tier:T3;current-zone:t3-mountain-west;layer:held-gap;layer:review-connector;route-label:I135;route:I135;zone-route:t3-mountain-west:I135,held-gap;review-connector,data/t3-zone-route-columns.csv;t3-zone-route-columns;t4-terminal-access-columns,,single-segment,US.HWYSEG.968E0DA5DBCB2882,author-zone-bounded-stop-chain,review
US.HWYSEG.9B7A23B448182508,US.HWYBUNDLE.9B7A23B448182508,US.HWYSTITCH.9B7A23B448182508,t3-southeast,T3,US90Z,t3-southeast,US90Z,,,,current-tier:T3;current-zone:t3-southeast;layer:held-gap;layer:review-connector;route-label:US90Z;route:US90Z;zone-route:t3-southeast:US90Z,current-tier:T3;current-zone:t3-southeast;layer:held-gap;layer:review-connector;route-label:US90Z;route:US90Z;zone-route:t3-southeast:US90Z,held-gap;review-connector,data/t3-zone-route-columns.csv;t3-zone-route-columns;t4-terminal-access-columns,,single-segment,US.HWYSEG.9B7A23B448182508,author-zone-bounded-stop-chain,review
US.HWYSEG.9CB9F4DC1035F2CF,US.HWYBUNDLE.9CB9F4DC1035F2CF,US.HWYSTITCH.9CB9F4DC1035F2CF,t3-southeast,T3,I65,t3-southeast,I65,AL;KY;TN,AL;KY;TN,,current-tier:T3;current-zone:t3-southeast;layer:selected-route;route-label:I65;route:I65;zone-route:t3-southeast:I65,current-tier:T3;current-zone:t3-southeast;layer:selected-route;route-label:I65;route:I65;zone-route:t3-southeast:I65,selected-route;stop-placement,data/t3-zone-render-board.csv;data/t3-zone-route-columns.csv;data/tier-stop-candidates.csv,ready-for-stop-layout,single-segment,US.HWYSEG.9CB9F4DC1035F2CF,eligible-for-geometry-layout,pass
US.HWYSEG.9CC406DC103E65EA,US.HWYBUNDLE.9CC406DC103E65EA,US.HWYSTITCH.9CC406DC103E65EA,t3-southeast,T3,I57,t3-southeast,I-57,,,,current-tier:T3;current-zone:t3-southeast;layer:review-connector;route-label:I57;route:I57;zone-route:t3-southeast:I57,current-tier:T3;current-zone:t3-southeast;layer:review-connector;route-label:I57;route:I57;zone-route:t3-southeast:I57,review-connector,data/t3-zone-route-columns.csv,,single-segment,US.HWYSEG.9CC406DC103E65EA,author-zone-bounded-stop-chain,review
