tier,route,region_id,segment_bundle_id,stitch_group_id,debt_class,blocked_member_count,affected_states,evidence_debt_units,repair_debt_units,estimated_evidence_cost_m,estimated_repair_cost_m,total_debt_cost_m,budget_basis,optimizer_penalty,next_artifact,validation_status
T2,I220,component-0,US.HWYBUNDLE.5FA9BA2B1304E6EB,US.HWYSTITCH.398D8A576FCA2AE8,repair-debt,10,LA,0,10,0.0,25.0,25.0,planning proxy: evidence $0.05M/member; repair $2.50M/member until HPMS/state DOT unit costs replace defaults,subtract 25.00 budget-cost units from US.HWYBUNDLE.5FA9BA2B1304E6EB service claim until pavement debt closes,data/tier-pavement-docket.csv,review
T2,I110,component-0,US.HWYBUNDLE.D6B01122CB05A1BA,US.HWYSTITCH.351D3E0521E6500D,repair-debt,2,CA,0,2,0.0,5.0,5.0,planning proxy: evidence $0.05M/member; repair $2.50M/member until HPMS/state DOT unit costs replace defaults,subtract 5.00 budget-cost units from US.HWYBUNDLE.D6B01122CB05A1BA service claim until pavement debt closes,data/tier-pavement-docket.csv,review
T2,I110,component-0,US.HWYBUNDLE.D6C11122CB1414ED,US.HWYSTITCH.350C3E0521D7DCDA,repair-debt,10,LA,0,10,0.0,25.0,25.0,planning proxy: evidence $0.05M/member; repair $2.50M/member until HPMS/state DOT unit costs replace defaults,subtract 25.00 budget-cost units from US.HWYBUNDLE.D6C11122CB1414ED service claim until pavement debt closes,data/tier-pavement-docket.csv,review
