route,score,tier,rubric_version,estimated,A1,A2,A3,A4,A5,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3
I-215,39.7,T3,v1.4,true,7.9,0.0,8.7,0.0,0.0,1.2,3.6,7.4,5.0,1.6,0.0,0.8,0.0,0.0,3.1,0.4
I-22,48.8,T3,v1.4,true,1.7,0.1,0.0,0.0,0.6,5.7,9.7,10.0,5.0,3.3,3.8,5.2,0.0,0.0,3.2,0.7
I-220,51.9,T2,v1.4,true,5.1,0.0,3.2,0.0,0.0,7.3,6.6,4.1,5.0,1.0,1.7,6.4,0.0,10.0,0.0,1.5
I-225,52.2,T2,v1.4,true,10.0,0.0,10.0,0.0,0.0,9.6,1.8,0.0,5.0,3.2,0.0,0.0,0.0,0.0,5.0,7.6
I-229,16.9,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,1.9,3.6,0.0,5.0,0.6,1.1,3.6,0.0,0.0,0.0,1.1
I-235,26.5,T4,v1.4,true,4.2,0.0,1.2,0.0,0.0,1.1,8.4,0.0,5.0,0.5,1.0,4.7,0.0,0.0,0.0,0.3
I-238,15.9,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,5.0,5.8,0.0,0.0,0.0,0.0,4.0,0.1
I-24,56.6,T2,v1.4,true,4.9,1.0,2.5,0.0,0.0,5.4,10.0,3.6,7.5,1.6,6.0,5.9,5.0,0.0,0.0,3.1
I-240,58.4,T2,v1.4,true,8.0,0.0,9.3,0.0,0.0,3.6,7.1,10.0,5.0,3.0,4.6,4.8,0.0,0.0,1.0,1.9
I-244,28.6,T4,v1.4,true,5.9,0.0,1.6,0.0,0.0,6.7,0.8,0.0,5.0,1.0,0.8,5.0,0.0,0.0,0.0,1.8
I-25,64.8,T2,v1.4,true,0.3,0.0,0.0,6.0,2.3,5.5,10.0,8.2,8.5,5.4,1.5,1.7,5.0,2.4,3.3,4.6
I-255,26.0,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.4,10.0,1.7,5.0,2.7,0.2,3.1,0.0,0.0,1.0,1.8
I-26,38.8,T3,v1.4,true,2.0,0.0,0.0,0.0,0.5,0.0,10.0,5.7,5.0,4.3,3.5,5.8,0.0,0.0,0.0,2.1
I-264,51.0,T2,v1.4,true,7.2,0.0,2.0,0.0,0.0,2.6,7.4,10.0,5.0,1.7,0.1,2.8,0.0,10.0,1.0,1.2
I-265,22.9,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.0,2.7,5.7,5.0,1.6,0.9,4.2,0.0,0.0,1.0,1.8
I-269,33.3,T3,v1.4,true,0.8,0.0,0.0,0.0,0.0,1.4,6.6,10.0,5.0,1.4,1.5,5.5,0.0,0.0,1.0,0.0
I-27,29.4,T4,v1.4,true,1.0,0.0,0.0,0.0,0.0,10.0,5.4,0.1,5.0,0.4,1.2,5.4,0.0,0.0,0.0,1.0
I-270,58.2,T2,v1.4,true,7.5,0.1,10.0,0.0,0.0,2.7,7.1,8.3,5.0,5.3,4.0,1.3,0.0,0.0,4.9,1.9
I-271,26.0,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.2,5.0,4.1,0.0,4.7,0.0,0.0,0.0,1.4
I-275,51.1,T2,v1.4,true,6.2,0.0,2.7,0.0,1.9,1.5,6.1,10.0,5.0,6.4,2.1,4.0,0.0,0.0,3.6,1.6
I-276,28.3,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.0,2.7,10.0,5.0,6.5,0.0,0.8,0.0,0.0,1.0,2.3
I-277,25.8,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.0,1.8,5.6,5.0,5.5,0.0,4.1,0.0,0.0,1.0,2.8
I-278,33.6,T3,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.0,5.9,10.0,5.0,8.6,0.0,0.3,0.0,0.0,1.0,2.9
I-279,25.4,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.0,2.7,10.0,5.0,2.6,0.0,4.1,0.0,0.0,0.0,1.0
I-280,45.7,T3,v1.4,true,0.0,0.0,0.0,0.0,0.0,6.1,7.6,10.0,5.0,0.4,3.0,4.6,0.0,0.0,4.6,4.3
I-283,20.6,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.7,0.8,6.7,5.0,2.6,0.0,2.8,0.0,0.0,0.0,2.0
I-285,57.0,T2,v1.4,true,10.0,0.2,10.0,0.0,0.3,3.8,10.0,2.0,5.0,6.3,4.0,2.8,0.0,0.0,1.0,1.7
I-287,39.4,T3,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.1,10.0,10.0,5.0,8.4,0.3,0.4,0.0,0.0,3.4,1.7
I-29,52.5,T2,v1.4,true,0.0,0.0,0.0,5.5,6.3,2.7,10.0,0.0,5.0,2.9,4.6,2.9,9.5,0.0,1.0,2.2
I-290,39.6,T3,v1.4,true,0.0,0.0,0.0,0.0,0.2,4.4,5.1,8.0,5.0,8.3,4.0,0.9,0.0,0.0,1.0,2.7
I-291,23.1,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.0,1.8,4.7,5.0,4.3,0.0,2.0,0.0,0.0,4.0,1.3
I-293,17.8,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.5,2.7,2.2,5.0,4.6,0.0,0.0,0.0,0.0,0.0,2.9
I-294,26.4,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.0,8.6,1.4,5.0,6.2,0.0,1.7,0.0,0.0,1.0,2.5
I-295,51.5,T2,v1.4,true,3.8,0.3,0.0,0.0,0.1,4.2,7.4,10.0,5.0,8.9,4.0,0.1,0.0,0.0,6.0,1.8
I-3,8.2,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
I-30,56.3,T2,v1.4,true,3.3,1.0,0.1,0.0,2.2,7.5,6.4,4.3,6.0,6.0,4.0,2.4,5.5,0.0,4.6,3.1
I-310,36.9,T3,v1.4,true,0.0,0.0,0.0,0.0,0.0,1.6,1.8,10.0,5.0,1.6,0.0,4.7,0.0,10.0,1.0,1.3
