tier,route,candidate_type,graph_kind,split_objective,node_class,route_miles,observed_t1_node_count,observed_dual_contacts,parent_trunks,component_id,component_route_count,component_status,witness_type,repair_action,repair_basis,column_decision,evidence_status,required_artifact,validation_status
T2,I65,route-service-column,dual-route-graph,route-mile-workload,missing_graph_data,1776.6082200738344,0,0,,17,1,component-bridged:21,graph-contact-needed,fix-graph-contact-or-demote,missing-t1-contact-evidence,blocked,source-needed,data/tier-contact-witnesses.csv,review
T2,I664,route-service-column,dual-route-graph,route-mile-workload,local_spur,39.22587279222063,0,1,,9,2,component-bridged:21,tier-demotion-needed,demote-to-t3-t4,local-spur,demote,policy-action,data/tier-table.csv,review
T2,I680,route-service-column,dual-route-graph,route-mile-workload,missing_graph_data,224.59659721909517,0,0,,18,1,component-bridged:21,graph-contact-needed,fix-graph-contact-or-demote,missing-t1-contact-evidence,blocked,source-needed,data/tier-contact-witnesses.csv,review
T2,I76,route-service-column,dual-route-graph,route-mile-workload,trunk_connector,1244.4171797436604,4,4,I70;I80,1,18,component-bridged:21,regionalizer-ready,keep-for-regionalizer,touches-multiple-t1-trunks,selected,accepted,data/tier-candidate-columns.csv,pass
T2,I77,route-service-column,dual-route-graph,route-mile-workload,relief_loop,1225.3540650062364,4,1,I64,19,2,component-bridged:21,parent-region-review,keep-with-parent-region-review,relief-loop-shares-parent-service-context,review,review,data/tier-candidate-columns.csv,review
T2,I81,route-service-column,dual-route-graph,route-mile-workload,relief_loop,1704.6010415783205,2,1,I64,19,2,component-bridged:21,parent-region-review,keep-with-parent-region-review,relief-loop-shares-parent-service-context,review,review,data/tier-candidate-columns.csv,review
T2,I85,route-service-column,dual-route-graph,route-mile-workload,relief_loop,1376.1656231404718,2,2,I40,1,18,component-bridged:21,parent-region-review,keep-with-parent-region-review,relief-loop-shares-parent-service-context,review,review,data/tier-candidate-columns.csv,review
T2,US2,route-service-column,dual-route-graph,route-mile-workload,local_spur,31.18974372317038,0,0,,20,1,component-bridged:21,tier-demotion-needed,demote-to-t3-t4,local-spur,demote,policy-action,data/tier-table.csv,review
T2,US287,route-service-column,dual-route-graph,route-mile-workload,trunk_connector,541.9201889358089,15,6,I45;I70,1,18,component-bridged:21,regionalizer-ready,keep-for-regionalizer,touches-multiple-t1-trunks,selected,accepted,data/tier-candidate-columns.csv,pass
T2,US30,route-service-column,dual-route-graph,route-mile-workload,trunk_connector,1898.762978041829,30,5,I80;I84,1,18,component-bridged:21,regionalizer-ready,keep-for-regionalizer,touches-multiple-t1-trunks,selected,accepted,data/tier-candidate-columns.csv,pass
T2,US6,route-service-column,dual-route-graph,route-mile-workload,trunk_connector,1021.5560935857612,20,5,I70;I80;I84;I94,1,18,component-bridged:21,regionalizer-ready,keep-for-regionalizer,touches-multiple-t1-trunks,selected,accepted,data/tier-candidate-columns.csv,pass
T2,US70,route-service-column,dual-route-graph,route-mile-workload,trunk_connector,503.6304093279522,7,5,I10;I40;I55,1,18,component-bridged:21,regionalizer-ready,keep-for-regionalizer,touches-multiple-t1-trunks,selected,accepted,data/tier-candidate-columns.csv,pass
T2,US80,route-service-column,dual-route-graph,route-mile-workload,trunk_connector,252.90870571956427,13,3,I10;I20,1,18,component-bridged:21,regionalizer-ready,keep-for-regionalizer,touches-multiple-t1-trunks,selected,accepted,data/tier-candidate-columns.csv,pass
T2,US83,route-service-column,dual-route-graph,route-mile-workload,trunk_connector,298.2769331058611,3,2,I35;I90,1,18,component-bridged:21,regionalizer-ready,keep-for-regionalizer,touches-multiple-t1-trunks,selected,accepted,data/tier-candidate-columns.csv,pass
T2,US90,route-service-column,dual-route-graph,route-mile-workload,relief_loop,505.79383424874084,5,2,I10,1,18,component-bridged:21,parent-region-review,keep-with-parent-region-review,relief-loop-shares-parent-service-context,review,review,data/tier-candidate-columns.csv,review
