GEOID,NAME,STATE,LAT,LON,NEAREST_MI,POPULATION,LAND_SQMI,GAP_CLASS,ARTIFACT_REASON
06065,Riverside County,CA,33.7298,-116.0022,85.1,2429487,7209,centroid_artifact_risk,large_county_internal_point_may_overstate_access_gap
31029,Chase County,NE,40.5304,-101.6942,85.1,3704,894,candidate_access_gap,county_centroid_beyond_threshold
46089,McPherson County,SD,45.7842,-99.2114,85.0,2251,1137,candidate_access_gap,county_centroid_beyond_threshold
46009,Bon Homme County,SD,42.9858,-97.8842,84.9,7018,564,candidate_access_gap,county_centroid_beyond_threshold
27133,Rock County,MN,43.6696,-96.2632,84.7,9659,482,candidate_access_gap,county_centroid_beyond_threshold
49001,Beaver County,UT,38.3575,-113.2389,84.6,7102,2583,candidate_access_gap,county_centroid_beyond_threshold
21169,Metcalfe County,KY,36.9924,-85.6335,84.5,10313,290,candidate_access_gap,county_centroid_beyond_threshold
48271,Kinney County,TX,29.3471,-100.4177,84.3,3157,1361,candidate_access_gap,county_centroid_beyond_threshold
48507,Zavala County,TX,28.8647,-99.7598,84.2,9700,1297,candidate_access_gap,county_centroid_beyond_threshold
08095,Phillips County,CO,40.5947,-102.3451,84.1,4493,688,candidate_access_gap,county_centroid_beyond_threshold
32021,Mineral County,NV,38.5166,-118.4163,84.1,4568,3751,candidate_access_gap,county_centroid_beyond_threshold
49009,Daggett County,UT,40.8901,-109.5058,84.0,638,697,candidate_access_gap,county_centroid_beyond_threshold
19059,Dickinson County,IA,43.3896,-95.1961,83.9,17692,381,candidate_access_gap,county_centroid_beyond_threshold
05089,Marion County,AR,36.2667,-92.6786,83.9,16905,597,candidate_access_gap,county_centroid_beyond_threshold
30025,Fallon County,MT,46.3182,-104.4057,83.5,2941,1621,candidate_access_gap,county_centroid_beyond_threshold
31129,Nuckolls County,NE,40.1765,-98.0468,83.1,4092,575,candidate_access_gap,county_centroid_beyond_threshold
06031,Kings County,CA,36.0725,-119.8155,82.8,152515,1391,candidate_access_gap,county_centroid_beyond_threshold
46097,Miner County,SD,44.0215,-97.6081,82.6,2312,570,candidate_access_gap,county_centroid_beyond_threshold
50009,Essex County,VT,44.7240,-71.7327,82.5,5976,662,candidate_access_gap,county_centroid_beyond_threshold
46007,Bennett County,SD,43.1869,-101.6772,82.5,3391,1185,candidate_access_gap,county_centroid_beyond_threshold
08021,Conejos County,CO,37.2134,-106.1764,82.5,7553,1287,candidate_access_gap,county_centroid_beyond_threshold
27101,Murray County,MN,44.0156,-95.7616,82.3,8170,705,candidate_access_gap,county_centroid_beyond_threshold
06023,Humboldt County,CA,40.7067,-123.9262,82.2,136132,3568,candidate_access_gap,county_centroid_beyond_threshold
22111,Union Parish,LA,32.8293,-92.3756,82.1,21049,877,candidate_access_gap,county_centroid_beyond_threshold
48043,Brewster County,TX,29.8090,-103.2525,82.0,9454,6184,centroid_artifact_risk,large_county_internal_point_may_overstate_access_gap
23017,Oxford County,ME,44.4945,-70.7344,81.9,58276,2077,candidate_access_gap,county_centroid_beyond_threshold
35041,Roosevelt County,NM,34.0212,-103.4830,81.8,19142,2446,candidate_access_gap,county_centroid_beyond_threshold
31065,Furnas County,NE,40.1923,-99.9086,81.7,4630,719,candidate_access_gap,county_centroid_beyond_threshold
32015,Lander County,NV,39.9002,-117.0472,81.5,5728,5519,centroid_artifact_risk,large_county_internal_point_may_overstate_access_gap
05049,Fulton County,AR,36.3813,-91.8193,81.5,12183,618,candidate_access_gap,county_centroid_beyond_threshold
46107,Potter County,SD,45.0527,-99.9620,81.4,2587,861,candidate_access_gap,county_centroid_beyond_threshold
38041,Hettinger County,ND,46.4357,-102.4542,81.4,2477,1132,candidate_access_gap,county_centroid_beyond_threshold
26031,Cheboygan County,MI,45.4760,-84.4954,81.3,25709,715,candidate_access_gap,county_centroid_beyond_threshold
31145,Red Willow County,NE,40.1694,-100.4686,81.0,10690,717,candidate_access_gap,county_centroid_beyond_threshold
46021,Campbell County,SD,45.7856,-100.0021,80.9,1534,734,candidate_access_gap,county_centroid_beyond_threshold
46101,Moody County,SD,44.0124,-96.6761,80.8,6346,519,candidate_access_gap,county_centroid_beyond_threshold
46059,Hand County,SD,44.5467,-99.0046,80.5,3075,1437,candidate_access_gap,county_centroid_beyond_threshold
48347,Nacogdoches County,TX,31.6206,-94.6202,80.5,64768,946,candidate_access_gap,county_centroid_beyond_threshold
31033,Cheyenne County,NE,41.2142,-103.0119,80.4,9489,1196,candidate_access_gap,county_centroid_beyond_threshold
48405,San Augustine County,TX,31.3824,-94.1632,80.4,7920,531,candidate_access_gap,county_centroid_beyond_threshold
48111,Dallam County,TX,36.2864,-102.5940,80.3,7165,1503,candidate_access_gap,county_centroid_beyond_threshold
48403,Sabine County,TX,31.3433,-93.8519,80.2,9980,492,candidate_access_gap,county_centroid_beyond_threshold
05139,Union County,AR,33.1682,-92.5981,80.1,38815,1039,candidate_access_gap,county_centroid_beyond_threshold
26141,Presque Isle County,MI,45.2524,-83.4323,80.1,13083,659,candidate_access_gap,county_centroid_beyond_threshold
29091,Howell County,MO,36.7744,-91.8874,79.9,39960,927,candidate_access_gap,county_centroid_beyond_threshold
28133,Sunflower County,MS,33.6055,-90.5951,79.4,25867,698,candidate_access_gap,county_centroid_beyond_threshold
46031,Corson County,SD,45.6857,-101.1797,79.3,3906,2470,candidate_access_gap,county_centroid_beyond_threshold
04005,Coconino County,AZ,35.8297,-111.7737,79.2,144705,18616,centroid_artifact_risk,large_county_internal_point_may_overstate_access_gap
31087,Hitchcock County,NE,40.1769,-101.0442,79.2,2620,710,candidate_access_gap,county_centroid_beyond_threshold
55037,Florence County,WI,45.8718,-88.4070,79.2,4574,488,candidate_access_gap,county_centroid_beyond_threshold
40151,Woods County,OK,36.7270,-98.8636,79.1,8661,1286,candidate_access_gap,county_centroid_beyond_threshold
